Name;Rating;Positive;Negative;Comment
Смарт-часы Xiaomi Amazfit Bip Red;2;Красивый дизайн.;Бесполезная вещь, доплатите немного денег и купите с GSM.;Не стоит своих денег.
Смарт-часы Xiaomi Amazfit Bip Red;1;;По прошествии 2 месяцев отвалилась верхняя крышка часов вообще! Это что за качество? Через неделю после покупки поцарапался экран! Качество вообще на нуле, никому не советую покупать этот товар. Хотела прикрепить фотографии, тут нет такой опции.;
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы классные. Брала только ради экранов часов, которые можно выбрать на любой извращённый вкус, ставила различные сложные циферблаты, что не все могут понять, что показывает, пробовала ставить бинарный циферблат, сама мозг сломала, пока разобралась сколько же времени показывает. ;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы отличные, заряд держат долго, экран в светлое время суток видно хорошо. Водонепроницаемые. По мне так отличный выбор!;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Все хорошо, работает нормально, автономность не скажу как!;;За эту стоимость хорошие часы! Не понравилось - это доставка DPD точнее в моем городе!Автомат звонил 3 дня, что ожидайте вам позвонит курьер!Неоднократно сам звонил в службу! Сегодня привёз курьер, претензий именно к нему нет а к самой системе.
Смарт-часы Xiaomi Amazfit Bip Red;5;Дам оценку пять за сервис. Молодцы. Что касается часов, думаю рано давать оценку, но  уже ношу все работает, дизайн класс, ремешки супер.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы за такие деньги очень даже крутые. Все просто и удобно.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Удобно, все отлично работает!;Микрофона нет.;
Смарт-часы Xiaomi Amazfit Bip Red;2;;Своих денег не стоят, экран дешманский, отображается все как на цветном 16 битном тамагочи. Подсветка убогая. Дизайн, конечно, впечатляет, на руке сидят очень удобно. Остальное все полный отстой. ;Сделал возврат в MiCom.kz, ждал полчаса какой то бланк на заполнение отказа от товара, в итоге выяснилось, что я должен приехать на Панфилова 10 (сервис центр, который сегодня не работает) и там его заполнить, теперь надо ждать понедельника. Ужасный магазин. Цены неадекватные. В Xiaomi.kz сравнил цены на MiBand 5 18890 тг. Здесь они за 22 тыс почти стоят. Не буду здесь больше ничего покупать.
Смарт-часы Xiaomi Amazfit Bip Red;5;Хорошие часы!;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Покупкой очень довольна! Товар полностью соответствует описанию и заявленным характеристикам. Жаль только, что теряется связь телефона с часами на расстоянии 5-6 метров. Но для меня это некритично. Заряда батареи хватает более чем на 3 недели.;Всё понравилось, спасибо!;В часах посещаю баню, принимаю душ, ежедневно ныряю и плаваю в бассейне. Всё работает, надеюсь, так будет и дальше.
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы реально крутые для такой цены.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Рекомендую. Часы супер;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Товар пришел с 50% зарядом, за 17 дней ещё не заряжала, ушло только 21%.;По инструкции не понятно! Влагоустойчивые но плавать и ходить в душ нельзя(;Понравилась доставка, заказала вечером, курьер в 9 утра был уже на месте.
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы супер! Это был подарок подруге, ей очень нравится! Зарядка супер стойкая ;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы очень классные, удобные, отличного качества, очень понравились;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Классные часы.;Нет функции свободная тренировка.;
Смарт-часы Xiaomi Amazfit Bip Red;5;Пока нравится, только купила. ;;Хочу похвалить курьера, вежливый. Спокойно все объяснил.
Смарт-часы Xiaomi Amazfit Bip Red;5;Долго держит заряд батареи. Можно менять экраны.;Всё нравится.;Советую к покупке.
Смарт-часы Xiaomi Amazfit Bip Red;5;Дизайн, все ещё не изучила;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Керемет!;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Заряд держат долго.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;6 месяцев, полет нормальный. Все работает, все хорошо.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Качество отличное, за свои деньги вполне оправдано. Хороший функционал, заряд батареи на высоте. Советую к покупке.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Всё как всегда прекрасно. Пришло в заявленные сроки. Часы соответствуют описанию. Получил 14 февраля с зарядом 61%, сегодня 29 - 29%. Я доволен.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Ұнайды, бірінші сағат емес алып отқан, сапасы, сипаты менің талаптарыма сәйкес, негізі браслет қой, сағат емес, ұнайды бағасы да. Каспи арқылы алдым, қызмет көрсету де жақсы, рахымет, тек іске сәт!;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Классные часы. Да, именно как часы. Огромное количество циферблатов, аксессуаров и очень много батареи. Если пользоваться только часами, 40 дней без проблем и подзарядки. Искал себе часы и увидел эти. Нисколько не жалею. Теперь и звонящего видно без телефона.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Удобно, заряд держит хорошо.;Мало функционала.;
Смарт-часы Xiaomi Amazfit Bip Red;5;Добрый день! Купила сыну, сын в восторге. Все те функции которые были в обзоре, все работают. Заряда хватает надолго!;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Качество хорошее, и все характеристики соответствуют заявленным в описании. Дизайн, качество и характеристики соответствуют цене товара.;;Покупали часы в подарок.
Смарт-часы Xiaomi Amazfit Bip Red;5;Часы хорошие, заряд держат. Мне все понравилось. Привезли все объяснили, спасибо.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Здравствуйте, уважаемые покупатели, я приобрела смарт-часы для сына в подарок, очень довольны качеством, дизайном, не жалеем, носим с удовольствием;;Хорошие часы и соответствующие современности
Смарт-часы Xiaomi Amazfit Bip Red;5;Очень хорошие часы, батарея держится долго, удобные, легкие. Не жалею, что приобрела их. И спасибо большое Каспи.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Купил жене, вроде понравилось;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Заряд вообще без слов. Уже месяц, ни разу не зарядила;;Микрофона нет. А так классно! Без слов
Смарт-часы Xiaomi Amazfit Bip Red;5;Классные часы! Только с GPS трекером быстро садится заряд батарейки, но GPS не часто включен.;;
Смарт-часы Xiaomi Amazfit Bip Red;5;Мне нравится все;;
Смарт-часы Xiaomi Amazfit Bip Red;5;;;Часы очень понравились мужу. Спасибо за быструю доставку
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Купил часы и очень рад своей покупке! Часы превзошли мои ожидания. Очень удобные, легкие, почти не чувствуются на руке. Что касается дизайна и внешнего вида, то они классно смотрятся под любой стиль одежды. Очень смахивает на apple watch, что, конечно, не может радовать. Относительно заряда - батарея держит около 3 недель. В заключении хочу сказать: берите и не пожалеете о покупке!;Что же мне не понравилось? Единственный минус состоит в том, что часы выдают неправильные показания количества шагов, а так в целом все отлично;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;;;Отличный гаджет
Смарт-часы Xiaomi Amazfit Bip Onyx Black;3;Внешний вид, свои функции выполняет хорошо, заряд батареи держит отлично.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Часы удобные в пользовании, соответствует своей цене;Указано в характеристиках, что заряд батареи держит более 25 дней, но это не так. Купил 06.08.18, заряд составлял 98%, сегодня, 09.08.18, заряд составляет 20%;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Хорошие часы, мне понравились);;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;Дизайн. Эргономика. Соотношение цена-качество.;Отсутствие возможностей приема вызова и крайне малый радиус взаимодействия со смартфоном.;Уведомления приходят только от СМС, не знаю, как настроить, чтобы приходило и от WhatsApp и Telegram. MiFit далеко не универсальное приложение. Смарт-будильник приложение отдельно пришлось устанавливать. Смарт-что-нибудь-ещё тоже наверняка придётся устанавливать. На каждую функцию отдельное приложение. Не совсем удобно. Плёнку двухдолларовую зажали. Ни в ЦУМе, ни где-либо еще нет. Самому заказывать долго, а блогеры говорят, что стекло за месяц царапается. В остальном полностью окупает себя по цене.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;3;Цена;Не совсем то, чего ожидал! Думал, что можно будет переключать музыкальный плеер телефона при беге!;Кнопка включения расположена неудобно, если носить на левом запястье.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Чем хороши Amazfit Bip? Я перечислю самые интересные фишки:Приятные внешний вид и качество. Автономность - от одного заряда часы способны проработать до 45 дней. Цветной дисплей, который днем работает как e-ink, отражая свет, а для условий плохой освещенности есть встроенная подсветка. Встроенный GPS - ГЛОНАСС, который позволяет использовать часы как трекер. А синхронизировав с приложением Mi Fit смотрите все с полной статистикой. Множество функций: шагомер, пульсомер, бег, ходьба, велопрогулки. Защита по стандарту IP68: плавайте в бассейне, используйте под дождем — для часов это безопасно. Следите за сном, можно использовать как будильник. Получайте информацию о входящих звонках на экран часов, перевод в беззвучный режим, можно сделать отбой звонка. Уведомления из любых приложений, смс сообщения — все будет отображаться на экране, поддержка кириллицы. Широкие возможности кастомизации, сотни русифицированных циферблатов, которые можно бесплатно установить через приложение.;;Это лучшие smart-часы для ежедневного использования, которые по ряду возможностей превосходят даже более дорогостоящие. При этом есть и уникальные свойства, которые выделяют модель среди конкурентов. 
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Часы отличные, долго держат заряд. Вид хороший, качество на уровне. можно менять скины, но их большое количество только на android, на iOS около 12 штук и все. ;Так что если у вас iPhone, скинами вы будете урезаны. А так больше минусов нет.;Каспи Банк как всегда на высоте. 3 минуты, и рассрочку мне подтвердили. Часы всем советую, за свои деньги это достойный выбор.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Удобные, компактные, на руке не ощущаются;Не во всех странах поддержка погоды;Удобное устройство. Проверил водонепроницаемость в море - проблем нет, все работает.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Идеальные за свою цену! Они стоят своих денег! Качественные часы, очень приятно ощущается на руках и визуально. ;;Спасибо, Каспи Магазин! Есть у вас проблемы, но вы стараетесь улучшить сервис, это очень приятно!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;;;Тауар онша емес. Экраны екі сағаттын ішінде сырылып қалды
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Хорошо держит заряд, как купил, еще не заряжал. Очень много циферблатов, экран на солнце еще сильней видно, дизайн - 10 Сяоми из 10) Ремешок нормальный + можно с Али заказать, меняется в два нажатия);Экран нормальный, но вот было бы больше цветов и разрешение чуть побольше. И то, что можно сделать сторонними программами на андроиде, то не сделаешь на айфоне, к примеру, переключатель музыки. А так часы топ за свои деньги;Играют как-то два мужика в покер, и первый мужик ставит эпл вотч, а второй говорит "повышаю" и ставит Сяоми Амазфит)
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Большим плюсом является автономность. Мне хватает на 20 дней, при этом он оповещает о каждом событии во всех соц.сетях. Экран, конечно, не фонтан, до этого носил Samsung Gear и Mi Band 3, сравнить есть с чем. На руке сидят отлично, если поменять Watchface на кастомный. Дело вкуса.;Цветопередача вообще плохая, лучше смотрятся чёрно-белые Watchface, но опять же, это на мой вкус. Уверен, найдутся и те, кому дисплей придется по душе.;Часы использую для тренировок и оповещений, с чем они прекрасно справляются. Особо хочется выделить будильник. Когда есть маленькие дети, которых нежелательно будить утром, будильник поднимет вас без единого звука.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Понравилось всё;Ничего;Товар очень удобный, на вид красивый, функция часов отличная! Рекомендую!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;3;Заряд держат долго. На улице хорошо виден циферблат.;Тот же mi band 4, но в два раза дороже. Днищенская подсветка, просто убогая графика, а-ля 15 год. Стоит ли своих денег? Нет. Хотел вернуть, но уже 2 недели прошли. кнопка все время у меня, когда на что-нибудь опираюсь, нажимается. Приходит уведомление, ты смотришь по телефону, а на часах, пока ты их не удалишь, они там могут неделями стоять. Так что если придет какое-нибудь новое смс, и ты хочешь его прочитать, ты должен пролистать кучу старых смс. Купил в Сулпак, к ним претензии нет. Но сами часы так себе. Лучше уже доплатить и купить мощнее, или просто mi band 4, или подождать и взять 5.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Всё супер, всё соответствует описанию. Часы очень лёгкие и не мешают при сне. Также круто, что в них можно не бояться воду!;;Спасибо Белому Ветру, что доставили часы на 2 дня раньше заявленного срока!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;Лёгкие, красивый дизайн, информативные, приятный ремешок, куча циферблатов;Батарея живёт дней 15 на полных возможностях часов, а не как в обзорах 25-30. Но мне и этого хватает);Очень рад покупке
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Очень хорошие смарт-часы! Заряд долго держится! После обновления появился русский язык.;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;Работает долго, удобный.;Попалась версия с полностью китайским интерфейсом. Спасибо сайту 4pda.ru за инструкцию по прошивке на международную версию с переводом на русский. Пока разобрался, промучился полдня :);
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Классные, удобные, очень понравились. Экран просто сказка. Днём чем ярче, тем лучше видно экран.;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;В часах ничего лишнего, удобные, заряда хватает надолго. Можно даже спать в них, расскажут все о вашем сне через приложение Mi Fit. Очень понравились. ;Смайлы не отображает, вместо них непонятные знаки.;Классный гаджет, можно следить за пульсом, сколько прошел, сколько спал и т.д.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Часы хорошие. Вид. Функционал.;Приложение Mifit можно было сделать более понятным и удобным.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Лёгкие, удобные, долго держат заряд.;Не нравится дисплей... Когда включаешь подсветку то сразу дешевизной несёт);Свои функции выполняет отлично. Рекомендую!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Хорошие часы! Цена и качество соответствуют!;;Хотите больше функций, покупайте apple или samsung, правда переплатите в 5 раз больше!Отличный бюджетный девайс.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные часы. Все устраивает. Живут долго, куча сторонних вотчфейсов. Удобное з/у.;Подсветка экрана смотрится дёшево.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;По соотношению цена-функциональность лучшее предложение на рынке фитнес-браслетов, в придачу с функционалом смарт-часов, замечательным временем автономной работы и неплохим внешним видом. Очень радуют регулярные апдейты с улучшениями.;Будьте аккуратней c пульсометром, при неправильной настройке выедает батарейку за несколько дней.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;;;Прикольная штука. Удобно в использовании.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные часы! Всем рекомендую! Лёгкие, качественные, немного смахивает на Apple Watch! За такую цену крутой аксессуар!;Пока не выявил;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Классные часы, узнаешь много полезной статистики о себе. Лишний раз не берёшь телефон в руки, чтобы прочитать сообщения. Однозначно рекомендую к покупке!;В первую ночь связь между телефоном и часами пропала. Но, полазив в настройках и ютубе, исправил ситуацию.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Очень хорошие часы. Лёгкие, простые в обращении. Теперь звонок или сообщение невозможно пропустить (вибрация ощутимая). Легче стало следовать расписанию (напоминания отлично реализованы). Телефон теперь потерять нереально - часы сразу дают знать, что их с телефоном разделили. Умный будильник срабатывает в соответствии с фазами сна, вставать легче.;Единственный минус - кожа под браслетом постоянно влажная, спать не очень удобно. Днем постоянно приходится сдвигать часы вверх-вниз по руке, чтобы проветривалось.;За такие деньги классная вещь. На али заказали цветные браслеты, будем варьировать стили.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;1;;Вернул обратно, батарея разряжалась быстрее, чем заявлено в характеристиках ;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Очень прочные и лёгкие, заряжать каждый день не надо, например, как "аппл вотч", на руке не чувствуются, много разных тем. Супер соотношение цена-качество! И ещё фишка понравилась: если часы далеко, сразу узнаешь, чтобы не потерять. Да, и ещё также можно искать телефон, если, например, где-то в сумке или в кармане затерялся.;Пока не нашел минусов;Хороший товар, единственное, если покупать из-за границы, то дешевле вроде как.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;Часики отличные: легкие, удобно сидят на руке, блютуз цепляется хорошо, даже когда уходишь (а смартфон остаётся), сразу же подсоединяется. Точность подсчёта шагов, пульса не проверял. Для этого есть профчасы. Уведомления все приходят, даже достают уже. Заряд держит 20 дней при действующем пульсометре (без GPS), с постоянными уведомлениями, в принципе, нормально. Но это первый раз, может аккумулятор ещё раскачается.;Стекло. Вроде Горилла, но уже на 5-ый день поцарапалось.;Берите, отличные часы. Скоро цена на них, наверное, упадёт, так как следующие Амазфит выходят.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Apple watch емес әрине, бірақ бағасына байланысты сапасы да өте жақсы, батарея шынымен де ұзақ уақыт бойы жұмыс істейді. Басқа жүрек қағыс және жүрген жолдың ұзындығы көрсеткіштерінде азғантай қателіктері болады, бағасына сапасы сәйкес, әуелі асып түседі, ұнады. Каспиге рахмет!;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Уже почти год как не снимаю, классные часы, и заряда хватает надолго, даже забываешь об этом;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Звонки, whatsapp, сообщения, пульс, шаги, сердцебиение - все отображается на экране.;;Супер часы по выгодной цене, рекомендую!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Шикарные часики, на руке сидят удобно. Автономность батареи шикарная. В бассейне купаюсь, не снимая, влагозащита на уровне. За свои деньги вполне достойно;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные фитнес-часы, до сих пор не заряжал, как купил, а прошло уже 11 дней.;Пока все устраивает;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные часы. Есть все необходимое для бега и похода в горы!;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные смарт часы, все работает. Уведомления на часики приходят быстрее, чем на телефон. Красиво смотрятся. Доставили быстро.;Часы никак не обновлялись на русский язык, я так понял, из-за того, что отправили китайскую версию. Позвонил в магазин, сказали что разницы нет и они должны обновится, но так не случилось. Пришлось повозиться и прошить несколько раз сторонними программами, сейчас все хорошо. Брал у магазина SATEL.;После установки русского языка доволен, как слон!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;;;Часы отличные, качество хорошее!
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Күйеуіме сыйлаған болатынмын, оған қатты ұнады, жеңіл әрі көпфункциялы! Өз бағасына сай сапасы да!  Заряды ұзаққа жетеді! Ұсынамын!;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;;;Все нормально. Уведомления все показывает. С Ватсапа, звонки инстаграм, сообщения, в общем, все, что надо, в настройках можно настроить уведомления. Когда спишь днем, часы не мерят продолжительность сна. Ночью все от и до - сколько спишь, глубокий сон, неглубокий, сколько раз вставала, на сколько минут. Ну и шаги, пульс, сколько прошла км. В целом неплохо, но это не смарт-часы а хороший фитнес-браслет. Можно было бы производителям сделать нормальный экран. Маленький. А где хороший экран, они для девушки очень большие размером, и смотрятся грубо. Немного подбешивает маленький экран, отдающий синевой. Надеюсь, что производители переделают этот недоэкран.) Каспи спасибо за оперативность.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Очень долгий заряд. На заряде с магазина 65%) ходил на максимальных настройках 23 дня. Удобный ремешок. В общем все плюсы, можете почитать в отзывах в интернете.;Моя китайская блютуз колонка через стены держит связь на 10+ метров. Часы, к сожалению, таким не могут похвастаться, по прямой, без помех в виде стен - максимум 5 метров.;За эти деньги отличнейший продукт
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Удобные, надёжные и лёгкие!;Мне не понравилось, что временами они отсоединяются от телефона, не знаю, почему. Ношу как простые часы и пользуюсь будильником!;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;Брал сыну в подарок. Сын доволен. Очень много всяких настроек. Без проблем подключил сначала к китайскому телефону, а потом и к айфону. Смотрятся не хуже аналогичных премиальных) Рекомендую;За такую цену нет;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Пользуюсь ими 20 дней, пока что доволен. 50% заряда хватило на две недели. Куча циферблатов, на ios прога с циферблатами AmazTools. Чем ярче солнце, тем ярче видно дисплей. Барометр понравился, можно предсказывать погоду. GPS сильно садит аккумулятор.;На черном фоне подсветка не очень красивая, синяя, как на тамогочи каком-то. Пластмассовый корпус удешевляет внешний вид, был бы из металла какого-нибудь.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;4;Батарея держит заряд отлично.;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Удобные, много разных ремешков имеется в продаже (под любой стиль). Заряд держит отлично, и плюс, к тому же, водонепроницаемые. 5 баллов!;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Все, как я ожидала, соответствует всем характеристикам. Все понравилось;;Очень хорошие часы, дешевле многих известных марок, но по характеристикам ничем не уступают
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Удобный, заряд долго держит!;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Тащусь от них. С предыдущими ходила год, разбила, купила такие же. Из функций нравится шагомер, будильник, таймер, компас, отображение на панели времени, погоды, пульса, количество пройденных шагов и количество сожженных калорий, а также  отображение вызова и смс.;;Советую, очень нравятся.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Понравилась система глонасс, работает без инета.;Пользуюсь как часами, хоть это фитнес-браслет.;Функций много.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Пользуюсь более полугода. Нареканий нет. Все супер. Стекло не царапается, хотя снимаю только когда принимаю душ. А так, все время на руке. ;;"Белый ветер" как всегда - сервис огонь. Каспи - спасибо за быструю возможность выбрать и купить товар.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Хорошие часы, держат заряд, главное при обновлении, чтобы на телефон никто не позвонил.;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Хорошие часики, ребёнок счастлив, соответствуют описанию;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные фитнес-часы: хорошо смотрятся на руке, долго держат заряд, не промокают, интерфейс простой и понятный. Доставили на неделю раньше плановой даты. Доволен весьма.;Скучный дизайн стоковых циферблатов. К тому же еще и на английском, притом что остальной интерфейс на русском. Проблема легко решается установкой сторонних тематических приложений, хотя MI могли бы такой же каталог и сами сделать.;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Отличные часы! Все точно показывают, не ощущаются на руке, большой экран, тренироваться в них одно удовольствие. После Ми бенд 3 разница ощутимая!;;
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Невысокая цена Функционал Автономная работа;Простой дизайн;Качественная сборка, богатый функционал, невысокая цена, автономность - именно благодаря этим параметрам я купил часы и не пожалел. Все работает чётко и без глюков. Очень сильно удивил трансфлективный цветной дисплей, удивил в лучшую сторону тем, что информация видна всегда даже при очень ярком солнце. В общем, отличные смарт-часы, советую всем.
Смарт-часы Xiaomi Amazfit Bip Onyx Black;5;Все понравилось, заряд держат как заявлено. Купил 09.09. При заводском заряде 60%, сегодня 22.09., ещё осталось 9%. Номер определяют, за такую цену вполне достойный вариант. ;;Особенно порадовала доставка от магазина ALSER, ребята, вам респект!
